product_id,name,category,description,price
1,Wireless Noise-Cancelling Headphones,Electronics,"Premium over-ear headphones with active noise cancellation, 30-hour battery, Bluetooth 5.0, and foldable design",89.99
2,Mechanical Keyboard,Electronics,"TKL mechanical keyboard with Cherry MX switches, RGB backlit, USB-C, compact 80% layout",74.99
3,USB-C Hub 7-in-1,Electronics,"Multiport adapter with HDMI 4K, 3 USB-A, SD card reader, PD charging, and Ethernet",39.99
4,Laptop Stand Adjustable,Electronics,"Aluminum ergonomic laptop stand, height and angle adjustable, compatible with 10-17 inch laptops",34.99
5,Webcam 1080p HD,Electronics,"Full HD webcam with built-in microphone, auto light correction, plug-and-play USB, wide-angle lens",49.99
6,Portable Bluetooth Speaker,Electronics,"Waterproof IPX7 speaker, 360-degree sound, 20-hour battery, compact cylindrical design",59.99
7,Smart LED Desk Lamp,Electronics,"Touch-controlled desk lamp with 5 color temperatures, USB charging port, memory function, dimmable",29.99
8,External SSD 1TB,Electronics,"USB 3.2 portable solid state drive, read speeds up to 1050MB/s, shock-resistant, compact form",89.99
9,Ergonomic Mouse Wireless,Electronics,"Vertical ergonomic wireless mouse, 6 buttons, adjustable DPI, reduces wrist strain",42.99
10,4K Monitor 27-inch,Electronics,"IPS panel 4K UHD monitor, 60Hz, sRGB 99%, HDMI and DisplayPort inputs, built-in speakers",299.99
11,Running Shoes Men,Sports,"Lightweight mesh upper, cushioned midsole, breathable design, suitable for road and trail running",64.99
12,Yoga Mat Non-Slip,Sports,"6mm thick eco-friendly TPE yoga mat, alignment lines, moisture-resistant, includes carry strap",28.99
13,Resistance Bands Set,Sports,"Set of 5 latex resistance bands with varying tension levels, includes carry bag and exercise guide",19.99
14,Adjustable Dumbbells,Sports,"Pair of adjustable dumbbells 5-52.5 lbs, quick change dial system, space-saving design",299.99
15,Cycling Helmet,Sports,"MIPS-certified road cycling helmet, 20 vents, adjustable retention system, CE EN 1078 certified",79.99
16,Jump Rope Speed,Sports,"Steel cable jump rope with ball bearings, adjustable length, foam-padded handles, includes bag",14.99
17,Water Bottle Insulated,Sports,"32 oz stainless steel vacuum insulated bottle, keeps cold 24h, hot 12h, leak-proof lid",24.99
18,Foam Roller High Density,Sports,"High-density EVA foam roller 36 inch, ideal for myofascial release and muscle recovery",22.99
